BeerID,StyleID,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,MashThickness,SugarScale,BrewMethod,PitchRate,PrimaryTemp,PrimingMethod,PrimingAmount
20237,132,7.57,1.099,1.023,10.03,97.68,50,12.3,60,1.061,60,1.5,Specific Gravity,All Grain,1,N/A,N/A,N/A
4149,7,39.75,1.038,1.008,3.96,93.81,8.88,45.42,60,1.033,80,1.5,Specific Gravity,All Grain,0.75,15.56,Force Carbonate,10 PSI @  38F
52599,71,20.82,1.052,1.007,5.88,16.56,13.08,28.39,60,1.038,84,1.5,Specific Gravity,All Grain,N/A,23.33,N/A,N/A
2875,7,13.25,1.066,1.019,6.27,440.6,7.62,15.14,60,1.058,70,N/A,Specific Gravity,BIAB,N/A,N/A,N/A,N/A
11768,10,23,1.048,1.009,5.06,40.16,4.63,26,60,1.042,73,N/A,Specific Gravity,BIAB,N/A,N/A,N/A,N/A
41127,94,39.75,1.056,1.013,5.66,17.44,5.43,28.39,60,1.079,80,1.25,Specific Gravity,All Grain,N/A,20,N/A,N/A
37862,10,23,1.054,1.012,5.53,21.79,5.2,10,60,1.124,35,N/A,Specific Gravity,extract,0.75,19,N/A,N/A
73458,56,3.79,1.092,1.029,8.23,99.73,7.18,7.57,60,1.042,75,N/A,Specific Gravity,BIAB,1.25,20,N/A,N/A
63907,10,20.82,1.05,1.013,4.95,51.99,6.37,11.36,60,1.092,35,N/A,Specific Gravity,extract,N/A,18.89,N/A,N/A
16068,10,4.2,1.056,1.016,5.28,32.6,12.14,4.9,60,1.048,75,N/A,Specific Gravity,BIAB,N/A,N/A,N/A,N/A
8790,162,20.82,1.075,1.026,6.45,33.65,39.35,24.61,60,1.063,70,2,Specific Gravity,All Grain,N/A,N/A,N/A,N/A
71134,24,18,1.052,1.009,5.72,28.26,11.52,28,60,1.034,65,N/A,Specific Gravity,BIAB,N/A,20,N/A,N/A
34087,7,20.82,1.068,1.02,6.36,68.2,9.84,9.08,60,1.135,70,N/A,Specific Gravity,Partial Mash,N/A,21.11,Cane sugar,160 g added to full vol
11550,22,19.87,1.074,1.015,7.72,27.73,24.5,14.76,60,1.083,75,N/A,Specific Gravity,extract,N/A,21.11,N/A,N/A
69846,10,20.82,1.056,1.013,5.57,42.4,5.32,29.64,90,1.039,75,1.5,Specific Gravity,All Grain,N/A,20,N/A,N/A
54151,27,20.82,1.026,1.006,2.62,3.84,3.37,28.39,60,1.019,35,N/A,Specific Gravity,BIAB,N/A,N/A,N/A,N/A
33336,134,18.93,1.042,1.007,4.5,47.44,3.4,26.5,90,1.03,70,1.25,Specific Gravity,All Grain,0.5,23.89,N/A,N/A
50555,152,8,1.062,1.009,7,56.9,5.54,10,60,1.05,70,N/A,Specific Gravity,BIAB,N/A,N/A,N/A,N/A
42706,162,20.82,1.056,1.016,5.23,26.23,36.41,11.36,60,1.102,70,N/A,Specific Gravity,Partial Mash,0.35,N/A,N/A,N/A
7320,132,20.82,1.114,1.029,11.14,114.35,50,15.14,60,1.157,35,N/A,Specific Gravity,extract,2,17.78,N/A,N/A
47628,175,12,1.045,1.006,5.12,74.45,5.2,28.5,60,1.019,35,3,Specific Gravity,All Grain,N/A,N/A,N/A,N/A
28140,25,11.36,1.072,1.016,7.38,28.17,13.2,18.93,60,1.043,70,1.5,Specific Gravity,All Grain,N/A,N/A,N/A,N/A
65420,150,27,1.052,1.01,5.62,32.35,17.97,32,70,1.044,70,N/A,Specific Gravity,BIAB,0.35,20,N/A,N/A
11636,7,20,1.062,1.012,6.59,65.07,16.77,8,60,1.024,35,N/A,Specific Gravity,extract,N/A,N/A,N/A,N/A
47507,148,20.82,1.072,1.017,7.2,82.3,34.67,28.39,90,1.052,75,1.25,Specific Gravity,All Grain,0.5,21.11,N/A,N/A
60775,4,22.71,1.06,1.015,5.89,20.86,12.09,26.5,60,1.051,68,1.5,Specific Gravity,All Grain,0.75,20,N/A,N/A
5794,129,11.36,1.063,1.012,6.69,41.86,32.53,15.14,60,1.047,80,N/A,Specific Gravity,BIAB,N/A,N/A,N/A,N/A
45004,146,43.53,1.062,1.016,6.07,26.6,3.77,53,60,1.051,80,1.33,Specific Gravity,All Grain,1.25,17.78,N/A,N/A
10054,23,20,1.086,1.028,7.64,26.49,5.02,28.5,60,1.043,70,2.6,Specific Gravity,All Grain,N/A,27,N/A,96.7
56101,28,20.82,1.045,1.011,4.5,24.72,8.52,28.39,60,1.033,72,1.25,Specific Gravity,All Grain,0.75,18.33,N/A,N/A
1435,7,22.71,1.068,1.017,6.66,87.86,5.78,32.18,60,1.048,70,1.25,Specific Gravity,All Grain,N/A,N/A,N/A,N/A
2183,77,20.82,1.06,1.01,6.56,1.55,4.61,28.39,90,1.044,65,N/A,Specific Gravity,All Grain,N/A,20,N/A,N/A
11226,7,24.61,1.068,1.017,6.74,63.07,9.09,32.18,60,1.052,72,1.33,Specific Gravity,All Grain,1.25,N/A,N/A,N/A
33351,116,7.57,1.073,1.018,7.19,58.28,7.46,13.25,60,1.042,70,1.5,Specific Gravity,All Grain,0.35,21.11,N/A,N/A
59914,65,21,1.054,1.012,5.51,46.91,9.99,28.5,60,1.04,70,3,Specific Gravity,All Grain,N/A,N/A,N/A,N/A
38550,7,17.03,1.049,1.009,5.28,45.66,8.43,24.61,60,1.034,60,1.5,Specific Gravity,All Grain,N/A,22.22,N/A,N/A
16013,145,45.42,1.062,1.017,6.07,20.25,14.23,49.21,60,1.057,69,1.5,Specific Gravity,All Grain,N/A,15.56,N/A,N/A
59108,10,23,1.039,1.007,4.21,27.05,4.67,32,60,1.028,62,N/A,Specific Gravity,BIAB,N/A,20,N/A,N/A
57597,7,20.82,1.053,1.013,5.31,128.01,4.18,28.39,60,1.039,65,1.5,Specific Gravity,All Grain,N/A,N/A,N/A,N/A
